Título,Tipo de Propiedad,Dirección,Zona,Número de Ambientes,Dormitorios,Número de Baños,Superficie Total,Superficie Construida,Precio,Expensas,Fecha de Publicación
Exc. Depto 4 Amb. Al Frente - Venta,"Departamento - Departamento
Sarmiento al 1500, San Nicolás, CABA","Departamento - Departamento
Sarmiento al 1500, San Nicolás, CABA",", San Nicolás, CABA",4 Ambientes,3 Dorm.,1 Baño,88 m² total,87 m² cubierto,USD 130.000,No especificado,Publicado el 3/10/2024
Exc. 2 Amb A Estrenar,"Departamento - Departamento
Cañada de Gómez al 4900, Villa Lugano, CABA","Departamento - Departamento
Cañada de Gómez al 4900, Villa Lugano, CABA",", Villa Lugano, CABA",2 Ambientes,1 Dorm.,1 Baño,48 m² total,42 m² cubierto,USD 75.000,No especificado,Publicado el 3/10/2024
Depto. 2 Amb. Venta Apto Credito,"Departamento - Departamento
Cafayate al 4400, Villa Lugano, CABA","Departamento - Departamento
Cafayate al 4400, Villa Lugano, CABA",", Villa Lugano, CABA",2 Ambientes,1 Dorm.,1 Baño,45 m² total,43 m² cubierto,USD 70.000,Expensas: USD 70.000,Publicado el 3/10/2024
Depto. 4 Amb. Transformado A 3 Amb - Venta,"Departamento - Departamento
Av. Soldado de la Frontera al 5500, Villa Lugano, CABA","Departamento - Departamento
Av. Soldado de la Frontera al 5500, Villa Lugano, CABA",", Villa Lugano, CABA",4 Ambientes,2 Dorm.,1 Baño,65 m² total,65 m² cubierto,USD 62.000,Expensas: $60.000,Publicado el 3/10/2024
Casa Tres Ambientes En P.b - Venta,"Casa - Casa
Sayos al 5400, Villa Lugano, CABA","Casa - Casa
Sayos al 5400, Villa Lugano, CABA",", Villa Lugano, CABA",2 Ambientes,3 Dorm.,1 Baño,180 m² total,100 m² cubierto,USD 130.000,Expensas: $60.000,Publicado el 3/10/2024
Exc. 3 Ambientes Ed 121,"Departamento - Departamento
Santiago Costamagna al 5800, Villa Lugano, CABA","Departamento - Departamento
Santiago Costamagna al 5800, Villa Lugano, CABA",", Villa Lugano, CABA",3 Ambientes,2 Dorm.,1 Baño,50 m² total,50 m² cubierto,USD 45.000,Expensas: $40.000,Publicado el 3/10/2024
4 AMB 2 BAÑOS GARAJE PISCINA QUINCHO PATIO Y TERRAZA,"Casa - Casa
Miranda al 5500, Villa Luro, CABA","Casa - Casa
Miranda al 5500, Villa Luro, CABA",", Villa Luro, CABA",4 Ambientes,3 Dorm.,2 Baños,250 m² total,190 m² cubierto,USD 320.000,Expensas: $95.000,Publicado el 3/10/2024
VENTA DE DEPARTAMENTO 2 AMBIENTES VILLA LURO,"Departamento - Departamento
Rafaela al 4800, Villa Luro, CABA","Departamento - Departamento
Rafaela al 4800, Villa Luro, CABA",", Villa Luro, CABA",2 Ambientes,1 Dorm.,1 Baño,63 m² total,48 m² cubierto,USD 150.000,Expensas: $40.000,Publicado el 3/10/2024
Departamento tipo PH 3 ambientes con patio y parrilla,"Departamento - Departamento
Thames al 1800, Palermo Soho, CABA","Departamento - Departamento
Thames al 1800, Palermo Soho, CABA",", Palermo Soho, CABA",3 Ambientes,2 Dorm.,1 Baño,68 m² total,55 m² cubierto,USD 125.000,No especificado,Publicado el 3/10/2024
Venta Departamento - Villa Urquiza,"Departamento
Rivera 4927 2do B al 0, Villa Urquiza, CABA","Departamento
Rivera 4927 2do B al 0, Villa Urquiza, CABA",", Villa Urquiza, CABA",3 Ambientes,2 Dorm.,2 Baños,93 m² total,78 m² cubierto,USD 235.000,No especificado,Publicado el 3/10/2024
venta monoambiente con balcón en Palermo,"Departamento
Paraguay 3100 - Palermo al 0, Palermo, CABA","Departamento
Paraguay 3100 - Palermo al 0, Palermo, CABA",", Palermo, CABA",1 Ambiente,1 Dorm.,1 Baño,34 m² total,30 m² cubierto,USD 96.900,No especificado,Publicado el 3/10/2024
Departamento en venta de 1 dormitorio en Parque Chas,"Departamento
Behring 2638 al 0, Villa Urquiza, CABA","Departamento
Behring 2638 al 0, Villa Urquiza, CABA",", Villa Urquiza, CABA",1 Ambiente,1 Dorm.,1 Baño,35 m² total,29 m² cubierto,USD 75.000,No especificado,Publicado el 3/10/2024
1 AMBIENTE AL FRENTE CON COCHERA,"Departamento - Monoambiente
Crámer al 800, Colegiales, CABA","Departamento - Monoambiente
Crámer al 800, Colegiales, CABA",", Colegiales, CABA",1 Ambiente,1 Baño,No especificado,24 m² cubierto,No especificado,USD 55.000,No especificado,Publicado el 3/10/2024
Departamento en venta de 1 dormitorio en Parque Chas,"Departamento
Behring al 2600, Parque Chas, CABA","Departamento
Behring al 2600, Parque Chas, CABA",", Parque Chas, CABA",1 Ambiente,1 Dorm.,1 Baño,35 m² total,29 m² cubierto,USD 75.000,No especificado,Publicado el 3/10/2024
Departamento en venta en Palermo,"Departamento
Av. Medrano 1244 Palermo al 0, Palermo, CABA","Departamento
Av. Medrano 1244 Palermo al 0, Palermo, CABA",", Palermo, CABA",1 Ambiente,1 Baño,No especificado,26 m² cubierto,No especificado,USD 85.900,Expensas: USD 194.400,Publicado el 3/10/2024
Vendo en Caballito. Departamento de 3 Ambientes. Balcón. Frente. Cochera. Todo luz.,"Departamento - Departamento
Cachimayo al 100, Caballito, CABA","Departamento - Departamento
Cachimayo al 100, Caballito, CABA",", Caballito, CABA",3 Ambientes,2 Dorm.,1 Baño,1 Cochera,49 m² total,USD 89.000,Expensas: USD 62.000,Publicado el 3/10/2024
Departamento de 2 ambientes,"Departamento - Departamento
Aráoz al 2700, Palermo Botánico, CABA","Departamento - Departamento
Aráoz al 2700, Palermo Botánico, CABA",", Palermo Botánico, CABA",2 Ambientes,1 Dorm.,1 Baño,37.77 m² total,35 m² cubierto,USD 92.000,Expensas: $80.000,Publicado el 3/10/2024
DEPARTAMENTO DE DOS AMBIENTES CON PARRILLA Y COCHERA,"Departamento - Departamento
Acassuso al 6200, Liniers, CABA","Departamento - Departamento
Acassuso al 6200, Liniers, CABA",", Liniers, CABA",2 Ambientes,1 Dorm.,1 Baño,1 Cochera,50 m² total,USD 110.000,Expensas: $110.000,Publicado el 3/10/2024
Venta monoambiente - Desaguadero 3900 (Villa Devoto),"Departamento - Monoambiente
Desaguadero al 3900, Villa Devoto, CABA","Departamento - Monoambiente
Desaguadero al 3900, Villa Devoto, CABA",", Villa Devoto, CABA",1 Baño,No especificado,No especificado,No especificado,No especificado,USD 82.000,Expensas: $74.000,Publicado el 3/10/2024
Paraguay 2400 Recoleta 4amb U$175.000,"Departamento - Semipiso
Paraguay al 2400, undefined, CABA","Departamento - Semipiso
Paraguay al 2400, undefined, CABA",", undefined, CABA",4 Ambientes,3 Dorm.,2 Baños,122 m² total,114 m² cubierto,USD 175.000,Expensas: $40.000,Publicado el 3/10/2024
Castillo 100 Villa Crespo 1amb U$78.000,"Departamento - Departamento
Castillo al 100, Villa Crespo, CABA","Departamento - Departamento
Castillo al 100, Villa Crespo, CABA",", Villa Crespo, CABA",1 Ambiente,1 Baño,No especificado,29 m² cubierto,No especificado,USD 78.000,Expensas: $75.000,Publicado el 3/10/2024
Av Triunvirato 3300 Villa Ortúzar 1amb U$73.900,"Departamento - Departamento
Av Triunvirato al 3300, Villa Ortúzar, CABA","Departamento - Departamento
Av Triunvirato al 3300, Villa Ortúzar, CABA",", Villa Ortúzar, CABA",1 Ambiente,1 Baño,No especificado,24 m² cubierto,No especificado,USD 73.900,Expensas: $40.000,Publicado el 3/10/2024
Av San Martín 7200 Villa Devoto 2amb U$135.000,"Departamento - Departamento
Av San Martin al 7200, Villa Devoto, CABA","Departamento - Departamento
Av San Martin al 7200, Villa Devoto, CABA",", Villa Devoto, CABA",2 Ambientes,1 Dorm.,2 Baños,75 m² total,55 m² cubierto,USD 135.000,Expensas: $89.000,Publicado el 3/10/2024
Humahuaca 4300 Almagro 2amb U$83.000,"Departamento - Departamento
Humahuaca al 4300, Almagro, CABA","Departamento - Departamento
Humahuaca al 4300, Almagro, CABA",", Almagro, CABA",2 Ambientes,1 Dorm.,1 Baño,48 m² total,43 m² cubierto,USD 83.000,No especificado,Publicado el 3/10/2024
Padilla 700 Villa Crespo 1amb U$70.000,"Departamento - Departamento
Padilla al 700, Villa Crespo, CABA","Departamento - Departamento
Padilla al 700, Villa Crespo, CABA",", Villa Crespo, CABA",1 Ambiente,1 Baño,No especificado,31 m² cubierto,No especificado,USD 70.000,No especificado,Publicado el 3/10/2024
Rocamora 4200 Almagro PH 7 ambientes U$350.000,"Departamento - Departamento
Rocamora al 4200, Almagro, CABA","Departamento - Departamento
Rocamora al 4200, Almagro, CABA",", Almagro, CABA",7 Ambientes,6 Dorm.,3 Baños,346 m² total,172 m² cubierto,USD 350.000,No especificado,Publicado el 3/10/2024
Departamento - Venta - Capital Federal,"Departamento - Departamento
Irala al 100, La Boca, CABA","Departamento - Departamento
Irala al 100, La Boca, CABA",", La Boca, CABA",4 Ambientes,3 Dorm.,1 Baño,70 m² total,66 m² cubierto,USD 95.000,Expensas: $40.000,Publicado el 3/10/2024
Departamento - Venta - Capital Federal,"Departamento - Departamento
Av. Montes de Oca al 1000, Barracas, CABA","Departamento - Departamento
Av. Montes de Oca al 1000, Barracas, CABA",", Barracas, CABA",2 Ambientes,1 Dorm.,1 Baño,48 m² total,48 m² cubierto,USD 77.000,Expensas: $75.000,Publicado el 3/10/2024
VENTA DEPARTAMENTO 2 AMB. AL FRENTE PLENO CABALLITO,"Departamento - Departamento
AVELLANEDA al 900, Caballito, CABA","Departamento - Departamento
AVELLANEDA al 900, Caballito, CABA",", Caballito, CABA",2 Ambientes,1 Dorm.,1 Baño,38 m² total,38 m² cubierto,USD 67.000,Expensas: $25.200,Publicado el 3/10/2024
PH 3 ambientes venta Villa Pueyrredón,"Casa - Casa
GAVILAN al 4700, Villa Pueyrredón, CABA","Casa - Casa
GAVILAN al 4700, Villa Pueyrredón, CABA",", Villa Pueyrredón, CABA",3 Ambientes,2 Dorm.,1 Baño,69 m² total,47 m² cubierto,USD 145.000,Expensas: $30.000,Publicado el 3/10/2024
PH 3 ambientes venta Villa Pueyrredón,"Departamento - Departamento
AV MOSCONI al 2800, Villa Pueyrredón, CABA","Departamento - Departamento
AV MOSCONI al 2800, Villa Pueyrredón, CABA",", Villa Pueyrredón, CABA",3 Ambientes,2 Dorm.,1 Baño,169 m² total,86 m² cubierto,USD 185.000,Expensas: $62.000,Publicado el 3/10/2024
Departamento 3 ambientes venta Villa Pueyrredón,"Departamento - Departamento
HABANA al 3200, Villa Devoto, CABA","Departamento - Departamento
HABANA al 3200, Villa Devoto, CABA",", Villa Devoto, CABA",3 Ambientes,2 Dorm.,2 Baños,96 m² total,70 m² cubierto,USD 199.000,No especificado,Publicado el 3/10/2024
Venta|PH 3 amb al frente con entrada independiente|Saavedra,"Departamento - Departamento
LARRALDE al 4700, Saavedra, CABA","Departamento - Departamento
LARRALDE al 4700, Saavedra, CABA",", Saavedra, CABA",3 Ambientes,2 Dorm.,1 Baño,185 m² total,98 m² cubierto,USD 198.000,No especificado,Publicado el 3/10/2024
Departamento De 2 Ambientes En Venta En Balvanera,"Departamento
PARANA al 300, Balvanera, CABA","Departamento
PARANA al 300, Balvanera, CABA",", Balvanera, CABA",2 Ambientes,1 Dorm.,1 Baño,47 m² total,47 m² cubierto,USD 75.000,No especificado,Publicado el 2/10/2024
Departamento De 2 Ambientes En Venta En Centro,"Departamento
PARANA al 300, undefined, CABA","Departamento
PARANA al 300, undefined, CABA",", undefined, CABA",2 Ambientes,1 Dorm.,1 Baño,47 m² total,47 m² cubierto,USD 75.000,No especificado,Publicado el 2/10/2024
"Departamento En Venta En Flores Límite Caballito, Con Renta Por Un Año","Departamento - Departamento
C. Dr. Juan Felipe Aranguren al al 1800, Flores, CABA","Departamento - Departamento
C. Dr. Juan Felipe Aranguren al al 1800, Flores, CABA",", Flores, CABA",1 Ambiente,1 Dorm.,1 Baño,40 m² total,34 m² cubierto,USD 79.000,No especificado,Publicado el 2/10/2024
Departamento 3 Ambientes En Venta En Recoleta,"Departamento - Departamento
Las Heras al 1° Entre Av. Pueyrredon y Azcuenaga al 2200, Recoleta, CABA","Departamento - Departamento
Las Heras al 1° Entre Av. Pueyrredon y Azcuenaga al 2200, Recoleta, CABA",", Recoleta, CABA",3 Ambientes,2 Dorm.,1 Baño,54 m² total,54 m² cubierto,USD 114.900,No especificado,Publicado el 2/10/2024
Departamento 2 Ambientes A Estrenar En Venta En Nuñez,"Departamento - Departamento
Cabildo al al 4600, Nuñez, CABA","Departamento - Departamento
Cabildo al al 4600, Nuñez, CABA",", Nuñez, CABA",2 Ambientes,1 Dorm.,1 Baño,52 m² total,47 m² cubierto,USD 149.500,No especificado,Publicado el 2/10/2024
Departamento En Congreso,"Departamento - Departamento
Rodriguez Peña al 0, Balvanera Congreso, CABA","Departamento - Departamento
Rodriguez Peña al 0, Balvanera Congreso, CABA",", Balvanera Congreso, CABA",2 Ambientes,1 Dorm.,1 Baño,1 Cochera,70 m² total,USD 140.000,No especificado,Publicado el 2/10/2024
Venta Departamento 4 Ambientes Con Cochera Y Baulera Con Palier Privado Reciclado A Nuevo,"Departamento - Departamento
French al al 2700, Barrio Norte, CABA","Departamento - Departamento
French al al 2700, Barrio Norte, CABA",", Barrio Norte, CABA",4 Ambientes,3 Dorm.,1 Baño,1 Cochera,108 m² total,USD 330.000,No especificado,Publicado el 2/10/2024
Hidalgo 1000 P3ero. Semipiso 4amb. C/depend. Cochera. Baulera. Parque Centenario.,"Departamento - Departamento
Hidalgo al 1000, Caballito, CABA","Departamento - Departamento
Hidalgo al 1000, Caballito, CABA",", Caballito, CABA",4 Ambientes,3 Dorm.,3 Baños,91 m² total,83 m² cubierto,USD 230.000,No especificado,Publicado el 2/10/2024
Impecable Duplex Reciclado Ugarteche Y Cabello . 86 Metros Totales. 2 Baños,"Departamento - Departamento
Ugarteche al al 3000, Palermo Botánico, CABA","Departamento - Departamento
Ugarteche al al 3000, Palermo Botánico, CABA",", Palermo Botánico, CABA",3 Ambientes,2 Dorm.,2 Baños,86 m² total,77 m² cubierto,USD 320.000,No especificado,Publicado el 2/10/2024
Evoque Olazabal (oportunidad) 1amb Piso Alto Con Vista Abierta Y Cochera,"Departamento - Departamento
Avenida Olazabal al al 4800, Villa Urquiza, CABA","Departamento - Departamento
Avenida Olazabal al al 4800, Villa Urquiza, CABA",", Villa Urquiza, CABA",1 Ambiente,1 Baño,1 Cochera,42 m² total,35 m² cubierto,USD 160.000,No especificado,Publicado el 2/10/2024
2 Ambientes Full Amenities · Seguridad 24 Horas,"Departamento - Departamento
Gurruchaga al (santa Fe y Guemes) al 2400, Palermo Botánico, CABA","Departamento - Departamento
Gurruchaga al (santa Fe y Guemes) al 2400, Palermo Botánico, CABA",", Palermo Botánico, CABA",2 Ambientes,1 Dorm.,2 Baños,62 m² total,53 m² cubierto,USD 210.000,No especificado,Publicado el 2/10/2024
2 Ambientes Full Amenities · Seguridad 24 Horas,"Departamento - Departamento
Gurruchaga al (santa Fe y Guemes) al 2400, Palermo Viejo, CABA","Departamento - Departamento
Gurruchaga al (santa Fe y Guemes) al 2400, Palermo Viejo, CABA",", Palermo Viejo, CABA",2 Ambientes,1 Dorm.,2 Baños,62 m² total,53 m² cubierto,USD 210.000,No especificado,Publicado el 2/10/2024
2 Ambientes Full Amenities · Seguridad 24 Horas,"Departamento - Departamento
Gurruchaga al (santa Fe y Guemes) al 2400, Palermo, CABA","Departamento - Departamento
Gurruchaga al (santa Fe y Guemes) al 2400, Palermo, CABA",", Palermo, CABA",2 Ambientes,1 Dorm.,2 Baños,62 m² total,53 m² cubierto,USD 210.000,No especificado,Publicado el 2/10/2024
"Departamento 1er Piso Por Escalera , 2 Ambientes En Venta Ubicado En Villa Del Parque, Capital Federal, Buenos Aires","Departamento - Departamento
PASAJE PERNAMBUCO al 2400, Villa del Parque, CABA","Departamento - Departamento
PASAJE PERNAMBUCO al 2400, Villa del Parque, CABA",", Villa del Parque, CABA",2 Ambientes,1 Dorm.,1 Baño,1 Cochera,41 m² total,USD 90.000,No especificado,Publicado el 2/10/2024
Departamento En Flores,"Departamento - Departamento
Juan B. Alberdi al al 2500, Flores, CABA","Departamento - Departamento
Juan B. Alberdi al al 2500, Flores, CABA",", Flores, CABA",5 Ambientes,3 Dorm.,2 Baños,1 Cochera,184 m² total,USD 320.000,No especificado,Publicado el 2/10/2024
"Cuatro Ambientes, Tres Baños, Cocina Y Baulera","Departamento - Departamento
Moreno 2° 12 al 900, Monserrat, CABA","Departamento - Departamento
Moreno 2° 12 al 900, Monserrat, CABA",", Monserrat, CABA",4 Ambientes,3 Dorm.,3 Baños,116 m² total,116 m² cubierto,USD 149.000,No especificado,Publicado el 2/10/2024
Depto A Estrenar 3 Amb En Venta C/bcón - Av. Riestra 6200 - Loiacono Propiedades,"Departamento
Av. Riestra al 6200, Villa Lugano, CABA","Departamento
Av. Riestra al 6200, Villa Lugano, CABA",", Villa Lugano, CABA",3 Ambientes,2 Dorm.,2 Baños,71 m² total,67 m² cubierto,USD 133.155,No especificado,Publicado el 2/10/2024
Depto A Estrenar En Venta - 3amb Con Terraza - Av. Riestra 6200 - Loiacono Propiedades,"Departamento
Av. Riestra al 6200, Villa Lugano, CABA","Departamento
Av. Riestra al 6200, Villa Lugano, CABA",", Villa Lugano, CABA",3 Ambientes,2 Dorm.,2 Baños,116 m² total,77 m² cubierto,USD 230.110,No especificado,Publicado el 2/10/2024
Venta Departamento 1 Mercedes 332 Floresta Caba Apto Alquiler Temporario,"Departamento
Mercedes al 300, Floresta, CABA","Departamento
Mercedes al 300, Floresta, CABA",", Floresta, CABA",1 Ambiente,1 Baño,No especificado,49 m² cubierto,No especificado,USD 44.000,No especificado,Publicado el 2/10/2024
Semipiso 3 Ambientes Balcón Al Frente. Cochera. Colegiales.,"Departamento - Semipiso
Aguilar al 2600, Colegiales, CABA","Departamento - Semipiso
Aguilar al 2600, Colegiales, CABA",", Colegiales, CABA",3 Ambientes,2 Dorm.,2 Baños,1 Cochera,71 m² total,USD 235.000,No especificado,Publicado el 2/10/2024
Única! Casa 5 Amb En Esquina Jardin Delantero Y Patio.-,"Casa
Pedro Ignacio Rivera al 3400, Coghlan, CABA","Casa
Pedro Ignacio Rivera al 3400, Coghlan, CABA",", Coghlan, CABA",5 Ambientes,4 Dorm.,3 Baños,162 m² total,148 m² cubierto,USD 350.000,No especificado,Publicado el 2/10/2024
"Departamento En Venta En Mataderos, Capital Federal, Buenos Aires","Departamento - Departamento
Basualdo al 1400, Mataderos, CABA","Departamento - Departamento
Basualdo al 1400, Mataderos, CABA",", Mataderos, CABA",1 Ambiente,1 Baño,No especificado,40 m² cubierto,No especificado,USD 78.000,No especificado,Publicado el 2/10/2024
"Casa En Venta En Parque Avellaneda, Capital Federal, Buenos Aires","Casa
Directorio al 4700, Parque Avellaneda, CABA","Casa
Directorio al 4700, Parque Avellaneda, CABA",", Parque Avellaneda, CABA",8 Ambientes,5 Dorm.,3 Baños,270 m² total,200 m² cubierto,USD 210.000,No especificado,Publicado el 2/10/2024
"Departamento Semipiso En Venta En Villa Devoto, Capital Federal, Buenos Aires","Departamento - Semipiso
Jose Pedro Varela al 5000, Villa Devoto, CABA","Departamento - Semipiso
Jose Pedro Varela al 5000, Villa Devoto, CABA",", Villa Devoto, CABA",3 Ambientes,2 Dorm.,1 Baño,1 Cochera,74 m² total,USD 173.000,No especificado,Publicado el 2/10/2024
"Departamento Piso En Venta En Mataderos, Capital Federal, Buenos Aires","Departamento
Basualdo al 1400, Mataderos, CABA","Departamento
Basualdo al 1400, Mataderos, CABA",", Mataderos, CABA",3 Ambientes,2 Dorm.,2 Baños,90 m² total,50 m² cubierto,USD 130.000,No especificado,Publicado el 2/10/2024
"Departamento En Venta En Mataderos, Capital Federal, Buenos Aires","Departamento - Departamento
Basualdo al 1400, Mataderos, CABA","Departamento - Departamento
Basualdo al 1400, Mataderos, CABA",", Mataderos, CABA",1 Ambiente,1 Baño,No especificado,48 m² cubierto,No especificado,USD 88.000,No especificado,Publicado el 2/10/2024
"Departamento En Venta En Villa Luro, Capital Federal, Buenos Aires","Departamento - Departamento
Dante al 100, Villa Luro, CABA","Departamento - Departamento
Dante al 100, Villa Luro, CABA",", Villa Luro, CABA",4 Ambientes,3 Dorm.,3 Baños,1 Cochera,105 m² total,USD 270.000,No especificado,Publicado el 2/10/2024
"Departamento En Venta En Mataderos, Capital Federal, Buenos Aires","Departamento - Departamento
Basualdo al 1400, Mataderos, CABA","Departamento - Departamento
Basualdo al 1400, Mataderos, CABA",", Mataderos, CABA",3 Ambientes,2 Dorm.,2 Baños,80 m² total,75 m² cubierto,USD 130.000,No especificado,Publicado el 2/10/2024
"Departamento En Venta En Mataderos, Capital Federal, Buenos Aires","Departamento - Departamento
Basualdo al 1400, Mataderos, CABA","Departamento - Departamento
Basualdo al 1400, Mataderos, CABA",", Mataderos, CABA",2 Ambientes,1 Dorm.,1 Baño,50 m² total,45 m² cubierto,USD 85.000,No especificado,Publicado el 2/10/2024
"Departamento En Venta En Floresta, Capital Federal, Buenos Aires","Departamento - Departamento
Santiago de las Carreras0, Floresta, CABA","Departamento - Departamento
Santiago de las Carreras0, Floresta, CABA",", Floresta, CABA",3 Ambientes,2 Dorm.,2 Baños,1 Cochera,125 m² total,USD 185.000,Expensas: USD 70.000,Publicado el 2/10/2024
"Departamento En Venta En Mataderos, Capital Federal, Buenos Aires","Departamento - Departamento
LARRAZABAL al 1700, Mataderos, CABA","Departamento - Departamento
LARRAZABAL al 1700, Mataderos, CABA",", Mataderos, CABA",1 Ambiente,1 Baño,No especificado,32 m² cubierto,No especificado,USD 49.900,Expensas: $156.000,Publicado el 2/10/2024
"Departamento En Venta En Mataderos, Capital Federal, Buenos Aires","Departamento - Departamento
Basualdo al 1400, Mataderos, CABA","Departamento - Departamento
Basualdo al 1400, Mataderos, CABA",", Mataderos, CABA",3 Ambientes,2 Dorm.,2 Baños,70 m² total,65 m² cubierto,USD 120.000,Expensas: $111.000,Publicado el 2/10/2024
"Departamento En Venta Ubicado En Liniers, Capital Federal, Buenos Aires","Departamento - Departamento
Murguiondo al 100, Liniers, CABA","Departamento - Departamento
Murguiondo al 100, Liniers, CABA",", Liniers, CABA",2 Ambientes,1 Dorm.,1 Baño,41 m² total,37 m² cubierto,USD 85.000,No especificado,Publicado el 2/10/2024
"Casa Chalet En Venta En Villa Luro, Capital Federal, Buenos Aires","Casa
Miranda al 5600, Villa Luro, CABA","Casa
Miranda al 5600, Villa Luro, CABA",", Villa Luro, CABA",5 Ambientes,4 Dorm.,3 Baños,3 Cocheras,480 m² total,USD 400.000,No especificado,Publicado el 2/10/2024
"Departamento En Venta En Floresta, Capital Federal, Buenos Aires","Departamento - Departamento
Emilio Lamarca0, Floresta, CABA","Departamento - Departamento
Emilio Lamarca0, Floresta, CABA",", Floresta, CABA",3 Ambientes,2 Dorm.,1 Baño,50 m² total,47 m² cubierto,USD 78.000,No especificado,Publicado el 2/10/2024
"Departamento En Venta Ubicado En Villa Luro, Capital Federal, Buenos Aires","Departamento - Departamento
Rivadavia al 9600, Villa Luro, CABA","Departamento - Departamento
Rivadavia al 9600, Villa Luro, CABA",", Villa Luro, CABA",1 Ambiente,1 Baño,No especificado,25 m² cubierto,No especificado,USD 53.900,No especificado,Publicado el 2/10/2024
"Casa Chalet En Venta En Liniers, Capital Federal, Buenos Aires","Casa
Barragan al 400, Liniers, CABA","Casa
Barragan al 400, Liniers, CABA",", Liniers, CABA",4 Ambientes,3 Dorm.,3 Baños,1 Cochera,336 m² total,USD 290.000,No especificado,Publicado el 2/10/2024
"LINIERS /VILLA LURO - 2 AMBIENTES, 2 PISO AL FRENTE CON BALCON AL FRENTE.","Departamento - Departamento
García de Cossio al 6100, Liniers, CABA","Departamento - Departamento
García de Cossio al 6100, Liniers, CABA",", Liniers, CABA",2 Ambientes,1 Dorm.,1 Baño,43 m² total,40 m² cubierto,USD 78.000,No especificado,Publicado el 2/10/2024
Oportunidad semipiso de dos ambientes con balcón corrido y cochera,"Departamento - Semipiso
José Andrés Pacheco de Melo al 2600, Barrio Norte Recoleta, CABA","Departamento - Semipiso
José Andrés Pacheco de Melo al 2600, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",2 Ambientes,1 Dorm.,1 Baño,1 Cochera,51 m² total,USD 130.000,No especificado,Publicado el 2/10/2024
Venta Departamento 3amb luminoso Vista abierta en San Cristobal,"Departamento - Semipiso
Pasco al 1200, San Cristóbal, CABA","Departamento - Semipiso
Pasco al 1200, San Cristóbal, CABA",", San Cristóbal, CABA",3 Ambientes,2 Dorm.,1 Baño,92.79 m² total,83.12 m² cubierto,USD 128.000,No especificado,Publicado el 2/10/2024
Venta Dpto 2amb al frente con Balcon en Palermo,"Departamento - Semipiso
Güemes al 4600, Palermo Plaza Italia, CABA","Departamento - Semipiso
Güemes al 4600, Palermo Plaza Italia, CABA",", Palermo Plaza Italia, CABA",2 Ambientes,1 Dorm.,1 Baño,41.12 m² total,39.12 m² cubierto,USD 89.000,No especificado,Publicado el 2/10/2024
VENTA DEPARTAMENTO 3 AMBIENTES VILLA DEL PARQUE,"Departamento - Departamento
Helguera al 3100, Villa del Parque, CABA","Departamento - Departamento
Helguera al 3100, Villa del Parque, CABA",", Villa del Parque, CABA",3 Ambientes,2 Dorm.,1 Baño,67 m² total,60 m² cubierto,USD 125.000,Expensas: $120.000,Publicado el 2/10/2024
COLEGIALES - DIVINO 2 AMB. CON BALCÓN Y TERRAZA PROPIA,"Departamento - Departamento
Palpa 2900, Colegiales, CABA","Departamento - Departamento
Palpa 2900, Colegiales, CABA",", Colegiales, CABA",2 Ambientes,1 Dorm.,1 Baño,98 m² total,38 m² cubierto,USD 169.000,Expensas: USD 72.000,Publicado el 2/10/2024
VENTA DEPARTAMENTO DOS AMBIENTES CON PATIO,"Departamento - Departamento
Santiago de las Carreras al 300, Floresta Norte, CABA","Departamento - Departamento
Santiago de las Carreras al 300, Floresta Norte, CABA",", Floresta Norte, CABA",2 Ambientes,1 Dorm.,1 Baño,61 m² total,47 m² cubierto,USD 95.000,Expensas: $90.000,Publicado el 2/10/2024
"Departamento En Venta A Estrenar En San Cristóbal - 3 Ambientes, Posibilidad De Cochera","Departamento - Departamento
General Urquiza al al 1200, San Cristóbal, CABA","Departamento - Departamento
General Urquiza al al 1200, San Cristóbal, CABA",", San Cristóbal, CABA",3 Ambientes,2 Dorm.,2 Baños,83 m² total,70 m² cubierto,USD 190.000,No especificado,Publicado el 2/10/2024
"Departamento En Venta A Estrenar En San Cristóbal - 3 Ambientes, Posibilidad De Cochera","Departamento - Departamento
General Urquiza al al 1200, San Cristóbal, CABA","Departamento - Departamento
General Urquiza al al 1200, San Cristóbal, CABA",", San Cristóbal, CABA",3 Ambientes,2 Dorm.,2 Baños,75 m² total,69 m² cubierto,USD 180.000,No especificado,Publicado el 2/10/2024
"Departamento En Venta A Estrenar En San Cristóbal - 3 Ambientes, Posibilidad De Cochera","Departamento - Departamento
General Urquiza al al 1200, San Cristóbal, CABA","Departamento - Departamento
General Urquiza al al 1200, San Cristóbal, CABA",", San Cristóbal, CABA",3 Ambientes,2 Dorm.,2 Baños,75 m² total,69 m² cubierto,USD 165.000,No especificado,Publicado el 2/10/2024
Departamento Dos Ambientes En Venta - Retiro - Cerca A Plaza General San Martín,"Departamento - Departamento
Juncal al al 700, Retiro, CABA","Departamento - Departamento
Juncal al al 700, Retiro, CABA",", Retiro, CABA",2 Ambientes,1 Dorm.,1 Baño,67 m² total,65 m² cubierto,USD 125.000,No especificado,Publicado el 2/10/2024
